Name,Ratings,Comment,Descriptions
Flipkart Customer,4,Wonderful,just amazing for a beginner.. a fantastic camera to learn photography
Varun Kumar k j,4,Value-for-money,value for money good for beginnersbut to different to use as it have less buttons
Sumon Nazir,4,Worth the money,Value for money, worth buying... 🖤
Gourav kumar,4,Very Good,For learning purpose and make hobby fullfil is the best camera in it's price range and image quality is also good. Worth of money. Here some samples I have clicked using this camera.
Soumik Chakraborty,4,Good quality product,Budget DSLR for beginner...
Flipkart Customer,4,Really Nice,good for beginners..u can see the picture quality...
Sathish Murugan,4,Delightful,hasam guys let's try
AKHIL M,5,Super!,supper
Pavithran V,4,Worth the money,The camera simply awesome..and it is a best budget DSLR and begginer DSLR for first time user...auto focus mode works good in daylight
Ajay Kevat,5,Worth every penny,awsome Dslr camera
